,gene,score,logFC,pval,pval_adj,cluster
200,IRS2,13.207422,,7.950088942661612e-40,1.7677906107223948e-38,0
201,SIRPB1,13.142334,,1.883261729114194e-39,4.1492229747410437e-38,0
202,CMIP,13.049576,,6.390209844994914e-39,1.4014693098406653e-37,0
203,PLXNB2,12.994906,,1.3076703367527733e-38,2.8548821033743503e-37,0
204,IL13RA1,12.982808,,1.531609310979921e-38,3.3286513668038732e-37,0
205,NCF1C,12.977767,,1.6358120182573805e-38,3.539101407067657e-37,0
206,MARCKS,12.928026,,3.1274306715043145e-38,6.735896643603238e-37,0
207,ARHGAP26,12.873469,,6.348505341149799e-38,1.355194273490777e-36,0
208,CD300LF,12.870333,,6.611669863922939e-38,1.4051261219655697e-36,0
209,IL1B,12.850392,,8.557555458565158e-38,1.8106580998893593e-36,0
210,LINC00877,12.826194,,1.1697042271030876e-37,2.4640742994632147e-36,0
211,ZNF106,12.813199,,1.3831261473175252e-37,2.9009409980637877e-36,0
212,DOK3,12.798187,,1.6782285449674896e-37,3.5045790006429794e-36,0
213,CHP1,12.786873,,1.9412978747076956e-37,4.0363868797493774e-36,0
214,TIMP1,12.758306,,2.8022979412743264e-37,5.801481470664047e-36,0
215,CHST15,12.729627,,4.04768990586293e-37,8.343800265175817e-36,0
216,QPCT,12.506133,,6.910740598227954e-36,1.418473807405507e-34,0
217,LAT2,12.498851,,7.573778513206607e-36,1.5479514127204825e-34,0
218,KCNE3,12.479807,,9.621999871255365e-36,1.958240058544047e-34,0
219,NLRP3,12.457625,,1.2709907233435474e-35,2.5757672760417967e-34,0
220,OSCAR,12.455161,,1.310871296664089e-35,2.645426402469588e-34,0
221,EHBP1L1,12.4385805,,1.6134527879810803e-35,3.2424325274782964e-34,0
222,TUBA1A,12.347167,,5.045729394549683e-35,1.0055866507063122e-33,0
223,AC090559.1,12.327338,,6.454397103448325e-35,1.281011127597616e-33,0
224,RAB10,12.227522,,2.215962144536293e-34,4.379944930126673e-33,0
225,WARS,12.113703,,8.936719411647235e-34,1.759141939923839e-32,0
226,NFE2,11.938269,,7.476363108130248e-33,1.4656723268714115e-31,0
227,TLR8,11.854024,,2.051002654514332e-32,4.004457621801763e-31,0
228,IMPA2,11.8406925,,2.4045870230735748e-32,4.6569481741219275e-31,0
229,CCR1,11.833859,,2.60866675397875e-32,5.0318981603855165e-31,0
230,FAM49A,11.810109,,3.4611097667199916e-32,6.649484083822448e-31,0
231,CD4,11.75544,,6.621480702020953e-32,1.2670506697930933e-30,0
232,IQGAP2,11.675453,,1.701571093815481e-31,3.243113477617363e-30,0
233,CX3CR1,11.627505,,2.986997013731511e-31,5.6705718011669756e-30,0
234,MCEMP1,11.6183195,,3.326158892679128e-31,6.2895831344637204e-30,0
235,SOD2,11.541469,,8.152136547727489e-31,1.529480931200591e-29,0
236,NACC2,11.359537,,6.649629391245473e-30,1.237913564579535e-28,0
237,POU2F2,11.283807,,1.577683241965762e-29,2.9144663889082904e-28,0
